year;month;nunique_ContractID;sum_premiumAmount;mean_AgeAtPremium;mean_policyAge_months;bin_freq;sum_premiumAmount_prev12months
2020;1;1504;135485.0;40.944165270798436;21.381351200446677;XS;136990.33333333334
2020;2;1437;130269.0;41.34767641996557;22.135972461273667;XS;136126.66666666666
2020;3;1494;135344.0;40.94502473886751;21.645409565695438;XS;135891.25
2020;4;1546;140234.0;41.19616204690831;20.87420042643923;S;136123.5
2020;5;1570;142523.0;41.28125;20.91154661016949;S;136529.16666666666
2020;6;1572;142610.0;41.15392670157068;21.58219895287958;S;136884.83333333334
2020;7;1574;142390.0;41.09482288828338;21.019618528610355;S;137396.0
2020;8;1558;141017.0;41.48555555555556;21.016666666666666;S;137789.58333333334
2020;9;1566;140902.0;41.91173184357542;20.798324022346367;S;138328.66666666666
2020;10;1595;143532.0;41.851216814159294;20.359513274336283;S;138920.66666666666
2020;11;1639;146623.0;41.64182305630027;20.48418230563003;S;139818.66666666666
2020;12;1675;150172.0;41.50026001040042;19.896515860634427;M;140925.08333333334
2021;1;1669;155228.0;41.5260938323669;19.14760147601476;M;142570.33333333334
2021;2;1658;154086.0;41.483750665956315;19.023441662226958;M;144555.08333333334
2021;3;1664;154647.0;41.91216931216931;19.400529100529102;M;146163.66666666666
2021;4;1713;159447.0;41.953061224489794;19.530102040816328;M;147764.75
2021;5;1725;160718.0;42.150102459016395;19.514856557377048;M;149281.0
2021;6;1712;159048.0;42.05944584382871;19.737027707808565;M;150650.83333333334
2021;7;1714;159354.0;42.265116279069765;19.634108527131783;M;152064.5
2021;8;1709;159073.0;42.00361010830325;19.875193398659103;M;153569.16666666666
2021;9;1738;161521.0;42.04352226720648;19.341093117408906;L;155287.41666666666
2021;10;1750;162559.0;42.27488630621526;19.65133906013138;L;156873.0
2021;11;1749;162610.0;42.41861648016277;19.655137334689726;L;158205.25
2021;12;1793;166594.0;42.42724609375;19.51953125;L;159573.75
2022;1;1734;177682.0;42.577620967741936;19.027217741935484;L;161444.91666666666
2022;2;1729;176025.0;42.70444104134763;19.436447166921898;L;163273.16666666666
2022;3;1726;174998.0;42.83757637474542;19.618635437881874;L;164969.08333333334
2022;4;1717;173959.0;42.744233726294205;19.7842132239877;L;166178.41666666666
2022;5;1709;173435.0;42.40864642305713;20.284096757591353;L;167238.16666666666
2022;6;1694;171933.0;42.276254526642525;21.04914640455251;L;168311.91666666666
2022;7;1687;171139.0;42.294665976178145;21.11082340756085;L;169294.0
2022;8;1670;169133.0;42.2167280378748;21.199894792214625;L;170132.33333333334
2022;9;1663;168123.0;42.19552782111285;21.236089443577743;L;170682.5
2022;10;1655;167664.0;42.17131474103586;22.356075697211157;L;171107.91666666666
2022;11;1665;168458.0;42.04624871531346;21.798047276464544;L;171595.25
2022;12;1659;166813.0;42.21131105398457;22.190745501285345;L;171613.5
2023;1;1603;160802.0;42.01781857451404;21.939524838012957;M;170206.83333333334
2023;2;1586;158702.0;41.868191721132895;22.269607843137255;M;168763.25
2023;3;1568;156666.0;41.90934065934066;22.776923076923076;M;167235.58333333334
2023;4;1547;154853.0;42.07696597880647;23.152258784160626;M;165643.41666666666
2023;5;1519;152184.0;42.16457142857143;23.328;M;163872.5
